term_index,term,float_real,float_imag,real_q2_16_signed,imag_q2_16_signed,real_addr,imag_addr,real_hex18,imag_hex18
0,linear x_window[0],0.02314099297,0,1517,0,0,1,005ED,00000
1,linear x_window[1],-0.05757405236,0,-3773,0,2,3,3F143,00000
2,linear x_window[2],0.6730583906,0,44110,0,4,5,0AC4E,00000
3,x_window[0] * abs_window[0+0]^1,-0.02426081337,0,-1590,0,6,7,3F9CA,00000
4,x_window[1] * abs_window[0+1]^1,0.0295859687,0,1939,0,8,9,00793,00000
5,x_window[2] * abs_window[0+2]^1,-0.04262982681,0,-2794,0,10,11,3F516,00000
6,x_window[0] * abs_window[1+0]^1,-0.04599234834,0,-3014,0,12,13,3F43A,00000
7,x_window[1] * abs_window[1+1]^1,0.01950994693,0,1279,0,14,15,004FF,00000
8,x_window[2] * abs_window[1+2]^1,0.06467846036,0,4239,0,16,17,0108F,00000
9,x_window[0] * abs_window[2+0]^1,0.005023792386,0,329,0,18,19,00149,00000
10,x_window[1] * abs_window[2+1]^1,0.005489324685,0,360,0,20,21,00168,00000
11,x_window[2] * abs_window[2+2]^1,0.07223883271,0,4734,0,22,23,0127E,00000
12,x_window[0] * abs_window[0+0]^2,0.0647913143,0,4246,0,24,25,01096,00000
13,x_window[1] * abs_window[0+1]^2,0.07075387985,0,4637,0,26,27,0121D,00000
14,x_window[2] * abs_window[0+2]^2,0.1034399197,0,6779,0,28,29,01A7B,00000
15,x_window[0] * abs_window[1+0]^2,0.04814638197,0,3155,0,30,31,00C53,00000
16,x_window[1] * abs_window[1+1]^2,-0.2517295778,0,-16497,0,32,33,3BF8F,00000
17,x_window[2] * abs_window[1+2]^2,0.01925713569,0,1262,0,34,35,004EE,00000
18,x_window[0] * abs_window[2+0]^2,0.005998381879,0,393,0,36,37,00189,00000
19,x_window[1] * abs_window[2+1]^2,0.004478279501,0,293,0,38,39,00125,00000
20,x_window[2] * abs_window[2+2]^2,-0.233215332,0,-15284,0,40,41,3C44C,00000
21,x_window[0] * abs_window[0+0]^3,-0.08339936286,0,-5466,0,42,43,3EAA6,00000
22,x_window[1] * abs_window[0+1]^3,0.01930419356,0,1265,0,44,45,004F1,00000
23,x_window[2] * abs_window[0+2]^3,-0.1348634064,0,-8838,0,46,47,3DD7A,00000
24,x_window[0] * abs_window[1+0]^3,-0.0798843354,0,-5235,0,48,49,3EB8D,00000
25,x_window[1] * abs_window[1+1]^3,0.1038122922,0,6803,0,50,51,01A93,00000
26,x_window[2] * abs_window[1+2]^3,-0.0105507737,0,-691,0,52,53,3FD4D,00000
27,x_window[0] * abs_window[2+0]^3,0.07546161115,0,4945,0,54,55,01351,00000
28,x_window[1] * abs_window[2+1]^3,0.156390503,0,10249,0,56,57,02809,00000
29,x_window[2] * abs_window[2+2]^3,0.4042004347,0,26490,0,58,59,0677A,00000
30,x_window[0] * abs_window[0+0]^4,0.07191506773,0,4713,0,60,61,01269,00000
31,x_window[1] * abs_window[0+1]^4,-0.1360679418,0,-8917,0,62,63,3DD2B,00000
32,x_window[2] * abs_window[0+2]^4,0.05540239438,0,3631,0,64,65,00E2F,00000
33,x_window[0] * abs_window[1+0]^4,0.02344368771,0,1536,0,66,67,00600,00000
34,x_window[1] * abs_window[1+1]^4,0.09704868495,0,6360,0,68,69,018D8,00000
35,x_window[2] * abs_window[1+2]^4,0.0728000477,0,4771,0,70,71,012A3,00000
36,x_window[0] * abs_window[2+0]^4,0.01812252216,0,1188,0,72,73,004A4,00000
37,x_window[1] * abs_window[2+1]^4,-0.393321842,0,-25777,0,74,75,39B4F,00000
38,x_window[2] * abs_window[2+2]^4,0.1585040241,0,10388,0,76,77,02894,00000
