capture_index,source_index,ref_i,ref_q,fb_i,fb_q,rd_hi_hex,rd_lo_hex
0,1,1605,8033,0,0,06451F61,00000000
1,2,3180,7568,0,7537,0C6C1D90,00001D71
2,3,4693,6811,1477,7390,12551A9B,05C51CDE
3,4,6114,5793,2926,6963,17E216A1,0B6E1B33
4,5,7415,4551,4318,6266,1CF711C7,10DE187A
5,6,8568,3136,5625,5329,21780C40,15F914D1
6,7,9549,1605,6822,4187,254D0645,1AA6105B
7,8,10337,0,7883,2885,28610000,1ECB0B45
8,9,10918,-1605,8785,1477,2AA6F9BB,225105C5
9,10,11280,-3136,9510,0,2C10F3C0,25260000
10,11,11416,-4551,10045,-1477,2C98EE39,273DFA3B
11,12,11322,-5793,10378,-2885,2C3AE95F,288AF4BB
12,13,10999,-6811,10507,-4187,2AF7E565,290BEFA5
13,14,10453,-7568,10416,-5329,28D5E270,28B0EB2F
14,15,9689,-8033,10119,-6266,25D9E09F,2787E786
15,16,8738,-8192,9617,-6963,2222E000,2591E4CD
